"t","j.NH3","j.CO2","e.NH3","e.CO2","e.NH3.rel","e.CO2.rel","p.CO2.s","p.NH3.s","id","treated","film","mtc","dur","j.NH3.gm2h","time.h","time.d","condition","env","mtc.nm","film.nm"
1309090.90909091,8.83667296310543e-06,1.02333025241112e-05,11.7060094112687,13.6290443645466,0.830213433423314,0.0181720591527288,4.22214828693194e-05,2.05315143784392e-05,"12 untreated",0,0.01,0.01,12960000,0.445368317340514,363.636363636364,15.1515151515152,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
1440000,8.82679125393151e-06,1.02168614861532e-05,12.8615167602311,14.9665244396821,0.912164309236248,0.0199553659195761,4.21600754351909e-05,2.0508554780994e-05,"12 untreated",0,0.01,0.01,12960000,0.444870279198148,400,16.6666666666667,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
1570909.09090909,8.81692140146448e-06,1.02004513020178e-05,14.0157317798794,16.3018562729577,0.9940235304879,0.0217358083639436,4.20987832403855e-05,2.04856227319428e-05,"12 untreated",0,0.01,0.01,12960000,0.44437283863381,436.363636363636,18.1818181818182,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
1701818.18181818,8.80705349759555e-06,1.01840740437538e-05,15.1686161405107,17.6349797849595,1.07578837875963,0.0235133063799459,4.20376140240243e-05,2.046269521035e-05,"12 untreated",0,0.01,0.01,12960000,0.443875496278816,472.727272727273,19.6969696969697,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
1832727.27272727,8.797183912741e-06,1.01677121752489e-05,16.3208934172985,18.9670969780173,1.15751017143961,0.0252894626373563,4.19765022885612e-05,2.04397637830813e-05,"12 untreated",0,0.01,0.01,12960000,0.443378069202146,509.090909090909,21.2121212121212,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
1963636.36363636,8.7873195262279e-06,1.01513809934333e-05,17.4718791588818,20.297074747122,1.23914036587815,0.027062766329496,4.19155051681759e-05,2.04168444338677e-05,"12 untreated",0,0.01,0.01,12960000,0.442880904121886,545.454545454545,22.7272727272727,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
2094545.45454545,8.77745339184877e-06,1.01350803888621e-05,18.6215736070096,21.6249167767796,1.32067897922054,0.0288332223690395,4.18546222540915e-05,2.03939210235853e-05,"12 untreated",0,0.01,0.01,12960000,0.442383650949178,581.818181818182,24.2424242424242,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
2225454.54545455,8.76759311468373e-06,1.011881035796e-05,19.7699770149009,22.9506269633173,1.40212602942559,0.0306008359510897,4.17938535329535e-05,2.03710112222115e-05,"12 untreated",0,0.01,0.01,12960000,0.44188669298006,618.181818181818,25.7575757575758,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
2356363.63636364,8.75773691614023e-06,1.01025715005308e-05,20.9170897016566,24.2742093261055,1.48348153912458,0.0323656124348073,4.17332012450352e-05,2.03481108972864e-05,"12 untreated",0,0.01,0.01,12960000,0.441389940573467,654.545454545455,27.2727272727273,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
2487272.72727273,8.74788364030673e-06,1.00863645295558e-05,22.0629120927269,25.5956679877486,1.56474553849127,0.0341275573169981,4.16726680533285e-05,2.03252173631141e-05,"12 untreated",0,0.01,0.01,12960000,0.440893335471459,690.909090909091,28.7878787878788,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
2618181.81818182,8.73803048739605e-06,1.00701893355473e-05,23.2074446467827,26.9150070957055,1.64591806005551,0.0358866761276073,4.16122535488957e-05,2.03023241145461e-05,"12 untreated",0,0.01,0.01,12960000,0.440396736564761,727.272727272727,30.3030303030303,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
2749090.90909091,8.72818321292185e-06,1.00540450874269e-05,24.3506877650607,28.2322307331913,1.72699913227381,0.0376429743109217,4.15519546276514e-05,2.02794445241957e-05,"12 untreated",0,0.01,0.01,12960000,0.439900433931261,763.636363636364,31.8181818181818,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
2880000,8.71833442962418e-06,1.00379312208253e-05,25.4926417989263,29.547342912781,1.8079887800657,0.0393964572170413,4.14917691816704e-05,2.02565614281787e-05,"12 untreated",0,0.01,0.01,12960000,0.439404055253058,800,33.3333333333333,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
3010909.09090909,8.70849355995063e-06,1.00218476650446e-05,26.633307078449,30.8603476173038,1.88888702684035,0.041147130156405,4.14316969468955e-05,2.02336967190237e-05,"12 untreated",0,0.01,0.01,12960000,0.438908075421512,836.363636363636,34.8484848484848,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
3141818.18181818,8.69865400949083e-06,1.00057947681691e-05,27.772683970547,32.1712488500518,1.96969389862035,0.0428949984667357,4.1371739223425e-05,2.0210835074988e-05,"12 untreated",0,0.01,0.01,12960000,0.438412162078338,872.727272727273,36.3636363636364,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
3272727.27272727,8.68881840718244e-06,9.98977299600213e-06,28.9107729127388,33.4800506617855,2.05040942643538,0.0446400675490473,4.13118977510389e-05,2.01879826042608e-05,"12 untreated",0,0.01,0.01,12960000,0.437916447721995,909.090909090909,37.8787878787879,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
3403636.36363636,8.67898279407707e-06,9.97378220134963e-06,30.0475743597328,34.7867571062365,2.13103364253424,0.0463823428083152,4.12521719799658e-05,2.01651301084474e-05,"12 untreated",0,0.01,0.01,12960000,0.437420732821484,945.454545454545,39.3939393939394,"Untreated (pH 7.5)","12","Uncovered (0.01 m/s)","Moderate mixing
1 cm"
